nombre,geocodigo,nom_comuna,nom_region,nom_provin,region,distrito,lon,lat,tipo
SALTO GRANDE,10101142047,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,14,-73.27717019620907,-41.53197345620115,localidad
TRAPÉN,10101142049,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,14,-73.1193840645973,-41.50508476202489,localidad
CHAQUEIHUA,10101142009,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,14,-73.15846002470006,-41.474145242049744,localidad
ALTO BONITO,10101152002,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,15,-73.04177901157281,-41.47737840256442,localidad
EL TEPUAL,10101152020,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,15,-73.09834233754061,-41.452935421495965,localidad
LAGUNITAS,10101152031,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,15,-73.04655660552066,-41.44864509601149,localidad
LAS QUEMAS,10101152033,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,15,-73.19253386656688,-41.437038135543716,localidad
TRAPÉN,10101152049,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,15,-73.08625372859548,-41.50339490452364,localidad
CARDONAL BAJO,10101152006,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,15,-73.01265528821239,-41.461053267137096,localidad
INDETERMINADA,10101152901,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,15,-73.14243404393544,-41.4494501695244,localidad
CHINCHÍN,10101162010,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,16,-72.97376091463022,-41.42707576522487,localidad
EL TEPUAL,10101162020,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,16,-73.09885348874435,-41.41440165176478,localidad
LAGUNITAS,10101162031,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,16,-73.025505846948107,-41.42002301709628,localidad
LAS LOMAS,10101162032,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,16,-73.0606788670653,-41.40799154893303,localidad
LAS QUEMAS,10101162033,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,16,-73.16338487375624,-41.40076245656662,localidad
CARDONAL BAJO,10101162006,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,16,-72.99969970003553,-41.43467807319239,localidad
LA VARA,10101172029,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,17,-72.92352213941953,-41.428802603343605,localidad
CHINQUIHUE,10101032011,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,3,-73.04922881204192,-41.51094946646721,localidad
COSTA TENGLO ALTO,10101032019,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,3,-73.00921136013085,-41.49885785734956,localidad
ALTO BONITO,10101032002,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,3,-73.0208261026243,-41.49337086212874,localidad
CHINCHÍN,10101042010,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,4,-72.9483270101344,-41.43097103831988,localidad
COIHUÍN,10101062013,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,6,-72.87049889909488,-41.484644187930904,localidad
LA VARA,10101062029,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,6,-72.90001143977351,-41.430083760322525,localidad
ALTO LA PALOMA,10101062003,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,6,-72.87554260597454,-41.450296809783545,localidad
PELLUCO,10101062039,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,6,-72.87667895038597,-41.47230295695555,localidad
CHAMIZA,10101062008,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,6,-72.84765884545659,-41.47328547004015,localidad
COLONIA ALERCE,10101072014,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,7,-72.85450952541399,-41.374434550738286,localidad
ENTRE RÍOS,10101072021,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,7,-72.93657738245305,-41.41172842679607,localidad
LA POZA,10101072028,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,7,-72.78741656237509,-41.352591258436874,localidad
LA VARA,10101072029,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,7,-72.86115670380082,-41.42060536288332,localidad
METREQUÉN,10101072036,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,7,-72.8141547674161,-41.36276336831912,localidad
RÍO CHICO,10101072045,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,7,-72.82948702564822,-41.40579769724965,localidad
TRES PUENTES,10101072050,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,7,-72.81597972392376,-41.345391392135866,localidad
COLONIA LAS MARCAS,10101082016,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,8,-72.77135211740492,-41.36154459082024,localidad
COLONIA LAS QUEMADAS,10101082017,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,8,-72.73755629209717,-41.367983846696426,localidad
CORRENTOSO,10101082018,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,8,-72.65657681295133,-41.443255164059764,localidad
LAGO CHAPO,10101082030,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,8,-72.52690215074162,-41.40830698878484,localidad
LAUCA,10101082034,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,8,-72.78551970057691,-41.398580942677185,localidad
POLINCAY,10101082042,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,8,-72.73150554610108,-41.42911843073425,localidad
RÍO CHICO,10101082045,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,8,-72.74837396299,-41.40010097737366,localidad
METRI,10101092037,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,9,-72.70662141355831,-41.577676712082855,localidad
AUTOMÓ,10101092004,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,9,-72.68041779704193,-41.467059850462995,localidad
PICHIQUILLAIPE,10101092040,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,9,-72.75058988446385,-41.52719167851913,localidad
PIEDRA AZUL,10101092041,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,9,-72.75583911558924,-41.493324051172365,localidad
QUILLAIPE,10101092044,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,9,-72.72049099667383,-41.54265938693648,localidad
CHAMIZA,10101092008,PUERTO MONTT,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,9,-72.81933947634343,-41.4788648171253,localidad
ISLA PULUQUI,10102102023,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,10,-73.05505482208007,-41.763793499962006,localidad
ISLA PULUQUI,10102112023,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,11,-73.04195411769915,-41.807379044433624,localidad
ISLA PULUQUI,10102122023,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,12,-73.00796072326992,-41.8433132932014,localidad
ABTAO,10102012001,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,1,-73.41952649497738,-41.76887085942411,localidad
GUAPI ABTAO,10102012017,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,1,-73.3326905151675,-41.813834692069115,localidad
PARGUA,10102012033,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,1,-73.471066325909,-41.77570551680636,localidad
AVELLANAL,10102012004,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,1,-73.43861649204838,-41.75158627186897,localidad
CHAYAHUÉ,10102012008,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,1,-73.383789315437,-41.793610838161754,localidad
ISLA PULUQUI,10102132023,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,13,-73.07061271546998,-41.820267468968545,localidad
INDETERMINADA,10102142901,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,14,-73.12503157569117,-41.77630187468776,localidad
CAICAÉN,10102152006,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,15,-73.16707300944874,-41.799749764539726,localidad
LLACO ALTO,10102162030,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,16,-73.22473462936658,-41.75029931380885,localidad
LLACO BAJO,10102162031,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,16,-73.20186786309004,-41.759267605582224,localidad
QUIGUA,10102162036,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,16,-73.16906448811174,-41.78366062508637,localidad
SAN ANTONIO,10102162040,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,16,-73.22914319739957,-41.7673584622209,localidad
SAN JOSÉ,10102162041,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,16,-73.21304817366982,-41.786940534543206,localidad
CHUYEGUA,10102162009,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,16,-73.23612760933855,-41.7931609591505,localidad
ISLA QUENU,10102172024,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,17,-73.15123809730218,-41.828265755883336,localidad
ISLA CHIDGUAPI,10102182021,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,18,-73.10100215364854,-41.83349567824447,localidad
ISLA TABÓN,10102192026,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,19,-73.12619025407116,-41.898720327274695,localidad
ABTAO,10102022001,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,2,-73.40096491309603,-41.76177412385593,localidad
COLACO,10102022010,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,2,-73.35444305750337,-41.754444848663155,localidad
EL DAO,10102022013,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,2,-73.26522284504142,-41.76995817363364,localidad
AGUANTAO,10102022002,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,2,-73.29653308488118,-41.758651256215835,localidad
AUCHA,10102022003,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,2,-73.32300026187369,-41.755350488864025,localidad
AVELLANAL,10102022004,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,2,-73.3969063922974,-41.75317144323828,localidad
ISLA QUEULLÍN,10102202025,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,20,-72.91284208577603,-41.881237665520814,localidad
COLACO,10102032010,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,3,-73.36981433399792,-41.73358890337796,localidad
CRUCE CÁRDENAS,10102032011,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,3,-73.21698760326291,-41.693769563356405,localidad
EL TAMBOR,10102032016,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,3,-73.21630851824604,-41.673676714307305,localidad
GUAYÚN,10102032018,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,3,-73.28605171422315,-41.684538611199166,localidad
AGUANTAO,10102032002,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,3,-73.32374482141968,-41.72548798848117,localidad
PEÑASMÓ,10102032034,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,3,-73.27969038071274,-41.72329985219999,localidad
INDETERMINADA,10102032901,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,3,-73.21201068231271,-41.71078703893965,localidad
EL ESPINO,10102042014,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,4,-73.25181899661231,-41.632560009503464,localidad
EL TAMBOR,10102042016,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,4,-73.19174504119434,-41.676917478700176,localidad
HUITO,10102042019,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,4,-73.16475201505557,-41.69669047203189,localidad
LA CAMPANA,10102042028,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,4,-73.20234599361636,-41.64158010319637,localidad
LA FISCA,10102042029,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,4,-73.20338311247052,-41.60317389636533,localidad
PUTENÍO,10102042035,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,4,-73.15649051589047,-41.657271698584104,localidad
YALE,10102042043,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,4,-73.18514953745834,-41.700769404179006,localidad
INDETERMINADA,10102042901,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,4,-73.14721948829394,-41.61397802623677,localidad
DAITAO,10102052012,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,5,-73.20052566138995,-41.72820485694082,localidad
HUITO,10102052019,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,5,-73.17090094584186,-41.72689767849851,localidad
SAN RAFAEL,10102052042,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,5,-73.17441543384017,-41.76505929946338,localidad
YALE,10102052043,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,5,-73.18569648687797,-41.72386346713223,localidad
EL ROSARIO,10102062015,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,6,-73.12710783350241,-41.73603276290251,localidad
HUITO,10102062019,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,6,-73.13664428757005,-41.70478005292585,localidad
ISLA TAUTIL,10102062027,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,6,-73.05213607955274,-41.72183057568459,localidad
RULO,10102062038,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,6,-73.10271310022566,-41.70205227380314,localidad
SAN AGUSTÍN,10102062039,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,6,-73.06163112531819,-41.702032424663926,localidad
ISLA GUAR,10102072022,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,7,-72.91221947682781,-41.685993891857684,localidad
ISLA GUAR,10102082022,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,8,-72.95244724934231,-41.68402399933991,localidad
ISLA GUAR,10102092022,CALBUCO,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,9,-72.97837391254053,-41.70509514266483,localidad
COCHAMÓ,10103012003,COCHAMÓ,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,1,-72.28924906840815,-41.475669592698,localidad
EL VALLE,10103012004,COCHAMÓ,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,1,-72.12524124535902,-41.42448814249139,localidad
POCOIHUÉN,10103012008,COCHAMÓ,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,1,-72.36784942388769,-41.47124187283426,localidad
PUCHEHUÍN,10103012009,COCHAMÓ,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,1,-72.24994345118787,-41.53597365355482,localidad
VALLE EL FRÍO,10103022014,COCHAMÓ,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,2,-71.88023256940713,-41.70945152461521,localidad
PASO EL LEÓN,10103022007,COCHAMÓ,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,2,-71.94395172603363,-41.51454280976345,localidad
ALTO PUELO,10103032001,COCHAMÓ,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,3,-72.18387808230553,-41.65121779225305,localidad
PUELO BAJO,10103032010,COCHAMÓ,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,3,-72.33268327653343,-41.714438636276036,localidad
SAN LUIS,10103032011,COCHAMÓ,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,3,-72.38029453574754,-41.56622923405678,localidad
CASCAJAL,10103032002,COCHAMÓ,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,3,-72.3037856209033,-41.60978637690219,localidad
LLANADA GRANDE,10103032006,COCHAMÓ,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,3,-72.04802309948155,-41.68746136254814,localidad
POCOIHUÉN,10103032008,COCHAMÓ,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,3,-72.36405835269301,-41.536550366205056,localidad
PUCHEHUÍN,10103032009,COCHAMÓ,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,3,-72.25650838098146,-41.553390977753736,localidad
INDETERMINADA,10103032901,COCHAMÓ,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,3,-72.39288772596913,-41.61153331303715,localidad
SEGUNDO CORRAL,10103042012,COCHAMÓ,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,4,-72.002303200256,-42.05232128370511,localidad
LLANADA GRANDE,10103042006,COCHAMÓ,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,4,-72.0100563309599,-41.85134930574023,localidad
SOTOMÓ,10103052013,COCHAMÓ,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,5,-72.50719700335031,-41.66369207163131,localidad
YATES,10103052015,COCHAMÓ,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,5,-72.37898319533156,-41.72375798189426,localidad
LLAGUEPE,10103052005,COCHAMÓ,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,5,-72.49586359504995,-41.774869521550045,localidad
LA LAJA,10109012013,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,1,-72.9750081922978,-41.38372072504176,localidad
LAS LOMAS,10109012015,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,1,-73.05542648339413,-41.37426502736404,localidad
LÍNEA NUEVA,10109012020,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,1,-73.03248522217275,-41.30529115171272,localidad
PUERTO VARAS,10109012030,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,1,-72.97697760324348,-41.31078534084899,localidad
RUTA CINCO SUR,10109012037,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,1,-73.00729074720147,-41.34708578800675,localidad
LAS VEGAS,10109022017,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,2,-73.08204258425971,-41.366133062826506,localidad
LÍNEA CRUZADA,10109022018,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,2,-73.08563885801217,-41.31274031246805,localidad
CALABOZO,10109022002,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,2,-73.12730895537378,-41.36687319952613,localidad
NUEVA BRAUNAU,10109022024,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,2,-73.10531853217277,-41.33068735290369,localidad
BALMACEDA,10109032001,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,3,-73.2048833703845,-41.36026642806626,localidad
LÍNEA ERRÁZURIZ,10109032019,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,3,-73.28677380103323,-41.37012557969883,localidad
PARAGUAY GRANDE,10109032025,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,3,-73.23889679126319,-41.40973085379856,localidad
SANTA MARÍA,10109032039,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,3,-73.2830564404446,-41.34077047133287,localidad
EL MAITÉN,10109032009,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,3,-73.17517083448072,-41.33759632229858,localidad
SANTA BÁRBARA,10109042038,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,4,-73.31579958402529,-41.30690131965421,localidad
SANTA MARÍA,10109042039,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,4,-73.27333511743542,-41.321193483086105,localidad
EL MAITÉN,10109042009,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,4,-73.16989751594765,-41.317877974383485,localidad
LA FÁBRICA,10109052012,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,5,-72.87214870657029,-41.32295823652701,localidad
LA LAJA,10109052013,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,5,-72.91362894109521,-41.352265078036325,localidad
LA POZA,10109052014,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,5,-72.84094642061295,-41.290319659778405,localidad
PUERTO ROSALES,10109052029,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,5,-72.88161955863858,-41.28652393076266,localidad
CAMINO ALERCE,10109052003,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,5,-72.91928655877722,-41.36251875859832,localidad
PUERTO VARAS,10109052030,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,5,-72.92863477760868,-41.30756855777763,localidad
TRES PUENTES,10109052040,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,5,-72.79146145885406,-41.3270669193422,localidad
COLONIA RÍO SUR,10109052005,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,5,-72.69501934659945,-41.3424892505098,localidad
LA POZA,10109062014,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,6,-72.86857993862178,-41.24431664713524,localidad
LOS RISCOS,10109062022,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,6,-72.71639916539338,-41.17048634455867,localidad
PLAYA VENADO,10109062028,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,6,-72.8168004648188,-41.27080471688934,localidad
RÍO PESCADO,10109062033,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,6,-72.79977987950745,-41.21305529897052,localidad
RÍO SUR,10109062034,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,6,-72.69547791672845,-41.30444924658529,localidad
ENSENADA,10109072010,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,7,-72.55383421339236,-41.216873734760874,localidad
HUEÑO HUEÑO,10109072011,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,7,-72.45319009697118,-41.30199048165715,localidad
PETROHUÉ,10109072026,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,7,-72.40964994324703,-41.1337987197808,localidad
CAYETUÉ,10109072004,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,7,-72.30507235519413,-41.2421533091126,localidad
COSTA NORTE,10109072006,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,7,-72.30208290127428,-41.03845915541142,localidad
COSTA SUR,10109072007,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,7,-72.34066132804314,-41.152608639712405,localidad
EL ABRA,10109072008,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,7,-72.35474199254247,-41.29131433399669,localidad
PEULLA,10109082027,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,8,-71.96770304202587,-40.97545916699935,localidad
RIVERA ESTE,10109082035,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,8,-72.0215813324821,-41.13138439840516,localidad
CAYETUÉ,10109082004,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,8,-72.21587291253242,-41.20272117004895,localidad
VALLE ESPERANZA,10109082042,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,8,-72.00946007660968,-41.294950854938605,localidad
COSTA NORTE,10109082006,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,8,-72.08415777302037,-41.10794360872379,localidad
COSTA SUR,10109082007,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,8,-72.16821158365904,-41.13930224105683,localidad
INDETERMINADA,10109082901,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,8,-72.09180718204686,-41.175676029434705,localidad
LAS TERMAS,10109092016,PUERTO VARAS,REGIÓN DE LOS LAGOS,LLANQUIHUE,10,9,-72.34391868494684,-41.361955813077614,localidad
